name,group,capacity,augment,poisonous_weight,test_accuracy,poisonous_precision,poisonous_recall,poisonous_fnr,tp,fp,tn,fn,params,best_val_loss,elapsed_sec
weight_1.0,class_weight,baseline,True,1.0,0.9433333333333334,0.8985507246376812,0.8611111111111112,0.1388888888888889,62,7,221,10,1699874,0.16834631850322088,160.8
weight_1.5,class_weight,baseline,True,1.5,0.9266666666666666,0.8048780487804879,0.9166666666666666,0.08333333333333333,66,16,212,6,1699874,0.19829005300998687,56.3
weight_2.0,class_weight,baseline,True,2.0,0.9433333333333334,0.8395061728395061,0.9444444444444444,0.05555555555555555,68,13,215,4,1699874,0.17915477255980175,55.9
weight_3.0,class_weight,baseline,True,3.0,0.92,0.7608695652173914,0.9722222222222222,0.027777777777777776,70,22,206,2,1699874,0.19295862356821697,55.9
weight_5.0,class_weight,baseline,True,5.0,0.8733333333333333,0.6574074074074074,0.9861111111111112,0.013888888888888888,71,37,191,1,1699874,0.18665792028109232,55.7
augment_on,augmentation,baseline,True,2.0,0.94,0.8068181818181818,0.9861111111111112,0.013888888888888888,71,17,211,1,1699874,0.19841213047504425,54.1
augment_off,augmentation,baseline,False,2.0,0.9766666666666667,0.9452054794520548,0.9583333333333334,0.041666666666666664,69,4,224,3,1699874,0.06756315139432748,42.9
capacity_tiny,capacity,tiny,True,2.0,0.8833333333333333,0.6989247311827957,0.9027777777777778,0.09722222222222222,65,28,200,7,105682,0.3768601723512014,53.7
capacity_small,capacity,small,True,2.0,0.8966666666666666,0.7411764705882353,0.875,0.125,63,22,206,9,421282,0.270373348792394,53.9
capacity_baseline,capacity,baseline,True,2.0,0.9233333333333333,0.7752808988764045,0.9583333333333334,0.041666666666666664,69,20,208,3,1699874,0.2281533036629359,55.3
capacity_deep,capacity,deep,True,2.0,0.95,0.8433734939759037,0.9722222222222222,0.027777777777777776,70,13,215,2,3600930,0.12616828789313633,58.0
capacity_wide,capacity,wide,True,2.0,0.9333333333333333,0.7954545454545454,0.9722222222222222,0.027777777777777776,70,18,210,2,6795330,0.19902624805768332,59.8
