name,arch,params,test_accuracy,poisonous_precision,poisonous_recall,poisonous_fnr,tp,fp,tn,fn,model_kwargs,train_overrides,elapsed_sec
cnn_deeper,cnn,3600930,0.9433333333333334,0.8160919540229885,0.9861111111111112,0.013888888888888888,71,16,212,1,"{""num_conv_blocks"": 4}",{},45.0
cnn_baseline,cnn,1699874,0.94,0.8214285714285714,0.9583333333333334,0.041666666666666664,69,15,213,3,{},{},45.9
cnn_wider_kernel,cnn,1865250,0.9366666666666666,0.8271604938271605,0.9305555555555556,0.06944444444444445,67,14,214,5,"{""kernel_size"": 5, ""padding"": 2}",{},45.0
cnn_heavier_reg,cnn,1699874,0.8933333333333333,0.7272727272727273,0.8888888888888888,0.1111111111111111,64,24,204,8,"{""conv_dropout"": 0.1, ""fc_dropout"": 0.6}",{},44.8
resnet_baseline,resnet,11177538,0.9766666666666667,0.9113924050632911,1.0,0.0,72,7,221,0,"{""preset"": ""resnet18""}",{},50.9
resnet_light_reg,resnet,11177538,0.9733333333333334,0.9102564102564102,0.9861111111111112,0.013888888888888888,71,7,221,1,"{""preset"": ""resnet18"", ""head_dropout"": 0.3}",{},50.0
resnet_narrow,resnet,2799394,0.9666666666666667,0.8974358974358975,0.9722222222222222,0.027777777777777776,70,8,220,2,"{""preset"": ""resnet18"", ""base_width"": 32}",{},46.4
resnet34,resnet,21285698,0.92,0.7666666666666667,0.9583333333333334,0.041666666666666664,69,21,207,3,"{""preset"": ""resnet34""}",{},60.5
resnet_block_drop,resnet,11177538,0.9066666666666666,0.7391304347826086,0.9444444444444444,0.05555555555555555,68,24,204,4,"{""preset"": ""resnet18"", ""block_dropout"": 0.1}",{},52.5
vit_baseline,vit,4987138,0.8833333333333333,0.6947368421052632,0.9166666666666666,0.08333333333333333,66,29,199,6,{},{},47.4
vit_less_reg,vit,4987138,0.91,0.7647058823529411,0.9027777777777778,0.09722222222222222,65,20,208,7,"{""mlp_dropout"": 0.0, ""head_dropout"": 0.2}",{},51.0
vit_deeper,vit,6566658,0.8766666666666667,0.7011494252873564,0.8472222222222222,0.1527777777777778,61,26,202,11,"{""depth"": 8}",{},50.3
vit_smaller,vit,917378,0.8666666666666667,0.6818181818181818,0.8333333333333334,0.16666666666666666,60,28,200,12,"{""embed_dim"": 128, ""num_heads"": 4, ""depth"": 4}",{},47.0
